"","Package","Version"
"935","selectr","0.4-2"
"936","SemiPar","1.0-4.2"
"937","sendmailR","1.2-1"
"938","seqinr","4.2-8"
"939","seriation","1.3.5"
"940","servr","0.24"
"941","sessioninfo","1.1.1"
"942","set6","0.2.4"
"943","setRNG","2022.4-1"
"944","sets","1.0-21"
"945","sf","1.0-7"
"946","sfheaders","0.4.0"
"947","sfsmisc","1.1-13"
"948","sgeostat","1.0-27"
"949","shape","1.4.6"
"950","shapefiles","0.7"
"951","shiny","1.6.0"
"952","shinyAce","0.4.1"
"953","shinyalert","3.0.0"
"954","shinyBS","0.61"
"955","shinydashboard","0.7.2"
"956","shinydisconnect","0.1.0"
"957","shinyEffects","0.2.0"
"958","shinyFiles","0.9.2"
"959","shinyjs","2.0.0"
"960","shinythemes","1.2.0"
"961","showimage","1.0.0"
"962","SIS","0.8-8"
"963","sitmo","2.0.2"
"964","sjlabelled","1.1.8"
"965","sjmisc","2.8.9"
"966","sjPlot","2.8.10"
"967","sjstats","0.18.1"
"968","sjtable2df","0.0.2"
"969","skellam","0.2.0"
"970","SkewHyperbolic","0.4-0"
"971","skewt","1.0"
"972","skmeans","0.2-14"
"973","slam","0.1-50"
"974","Sleuth2","2.0-5"
"975","slider","0.2.2"
"976","sm","2.2-5.7"
"977","smcfcs","1.6.1"
"978","smd","0.6.6"
"979","smotefamily","1.3.1"
"980","sn","2.0.2"
"981","snakecase","0.11.0"
"982","snow","0.4-4"
"983","SnowballC","0.7.0"
"984","snowfall","1.84-6.1"
"985","snowFT","1.6-0"
"986","som","0.3-5.1"
"987","soma","1.1.1"
"988","sourcetools","0.1.7"
"989","sp","1.4-6"
"990","spacetime","1.2-6"
"991","spam","2.8-0"
"992","spam64","2.8-0"
"993","spaMM","3.12.0"
"994","SparseGrid","0.8.2"
"995","SparseM","1.81"
"996","spatstat.data","2.1-4"
"997","spatstat.sparse","2.1-0"
"998","spatstat.utils","2.3-0"
"999","spd","2.0-1"
"1000","speedglm","0.3-4"
"1001","splancs","2.01-42"
"1002","splines2","0.4.5"
"1003","spls","2.2-3"
"1004","SQUAREM","2021.1"
"1005","stable","1.1.6"
"1006","stabledist","0.7-1"
"1007","stabs","0.6-4"
"1008","StanHeaders","2.21.0-7"
"1009","stargazer","5.2.3"
"1010","statip","0.2.3"
"1011","StatMatch","1.4.1"
"1012","statmod","1.4.35"
"1013","statnet.common","4.5.0"
"1014","stddiff","3.0"
"1015","stepPlr","0.93"
"1016","stopwords","2.3"
"1017","storr","1.2.5"
"1018","stringdist","0.9.8"
"1019","stringfish","0.15.5"
"1020","stringi","1.7.6"
"1021","stringr","1.4.0"
"1022","strucchange","1.5-2"
"1023","subplex","1.7"
"1024","subselect","0.15.2"
"1025","SuperLearner","2.0-28"
"1026","superpc","1.12"
"1027","SuppDists","1.1-9.7"
"1028","survAUC","1.0-5"
"1029","survey","4.1-1"
"1030","survival","3.3-1"
"1031","survPen","1.5.2"
"1032","svDialogs","1.0.3"
"1033","svglite","2.1.0"
"1034","svGUI","1.0.1"
"1035","svs","3.0.0"
"1036","svUnit","1.0.6"
"1037","swagger","3.33.1"
"1038","synchronicity","1.3.5"
"1039","sys","3.4"
"1040","systemfonts","1.0.4"
"1041","tablerDash","0.1.0"
"1042","tables","0.9.6"
"1043","tcltk2","1.2-11"
"1044","tclust","1.4-2"
"1045","TeachingDemos","2.12"
"1046","tensor","1.5"
"1047","tensorA","0.36.2"
"1048","terra","1.5-21"
"1049","testit","0.13"
"1050","testthat","3.0.2"
"1051","texreg","1.38.6"
"1052","textshaping","0.3.6"
"1053","tgp","2.4-18"
"1054","TH.data","1.0-10"
"1055","thematic","0.1.2.1"
"1056","tibble","3.1.8"
"1057","tidyfast","0.2.1"
"1058","tidyr","1.2.0"
"1059","tidyselect","1.1.2"
"1060","tidyverse","1.3.1"
"1061","tiff","0.1-11"
"1062","tikzDevice","0.12.3.1"
"1063","timeDate","3043.102"
"1064","timereg","2.0.2"
"1065","timeSeries","3062.100"
"1066","tinytest","1.3.1"
"1067","tinytex","0.38"
"1068","tis","1.39"
"1069","titanic","0.1.0"
"1070","tm","0.7-8"
"1071","TMB","1.7.22"
"1072","tmvnsim","1.0-2"
"1073","tmvtnorm","1.5"
"1074","tokenizers","0.2.1"
"1075","torch","0.7.2"
"1076","tree","1.0-41"
"1077","triangle","0.12"
"1078","triebeard","0.3.0"
"1079","tripack","1.3-9.1"
"1080","TruncatedNormal","2.2.2"
"1081","truncdist","1.0-2"
"1082","truncnorm","1.0-8"
"1083","trust","0.1-8"
"1084","tseries","0.10-50"
"1085","TSP","1.2-0"
"1086","TTR","0.24.2"
"1087","tweedie","2.3.3"
"1088","tweenr","1.0.2"
"1089","ucminf","1.1-4"
"1090","udpipe","0.8.9"
"1091","ulid","0.3.0"
"1092","umap","0.2.7.0"
"1093","units","0.8-0"
"1094","urca","1.3-0"
"1095","urltools","1.7.3"
"1096","uroot","2.1-2"
"1097","usethis","2.0.1"
"1098","utf8","1.2.2"
"1099","uuid","0.1-4"
"1100","V8","4.1.0"
"1101","VarianceGamma","0.4-0"
"1102","vcd","1.4-9"
"1103","vctrs","0.4.1"
"1104","Vdgraph","2.2-2"
"1105","vegan","2.5-7"
"1106","venn","1.10"
"1107","VGAM","1.1-6"
"1108","VGAMdata","1.1-6"
"1109","VGAMextra","0.0-5"
"1110","VineCopula","2.4.3"
"1111","vioplot","0.3.7"
"1112","vipor","0.4.5"
"1113","viridis","0.6.2"
"1114","viridisLite","0.4.1"
"1115","visreg","2.7.0"
"1116","waiter","0.2.5"
"1117","waldo","0.2.5"
"1118","warp","0.2.0"
"1119","wavelets","0.3-0.2"
"1120","waveslim","1.8.2"
"1121","wdm","0.2.3"
"1122","webdriver","1.0.6"
"1123","webfakes","1.1.3"
"1124","webp","1.1.0"
"1125","webshot","0.5.3"
"1126","webutils","1.1"
"1127","wesanderson","0.3.6"
"1128","whisker","0.4"
"1129","whoami","1.3.0"
"1130","withr","2.5.0"
"1131","wk","0.6.0"
"1132","wordcloud","2.6"
"1133","WrightMap","1.2.3"
"1134","writexl","1.4.2"
"1135","WRS2","1.1-3"
"1136","x13binary","1.1.57-3"
"1137","xfun","0.30"
"1138","xgboost","1.5.2.1"
"1139","XML","3.99-0.3"
"1140","xml2","1.3.3"
"1141","xmlparsedata","1.0.5"
"1142","xmlrpc2","1.1"
"1143","xopen","1.0.0"
"1144","xtable","1.8-4"
"1145","xts","0.12.1"
"1146","yaml","2.3.5"
"1147","zeallot","0.1.0"
"1148","zip","2.1.1"
"1149","zipfR","0.6-70"
"1150","zoo","1.8-9"
"1151","base","3.6.3"
"1152","boot","1.3-27"
"1153","class","7.3-18"
"1154","cluster","2.1.1"
"1155","codetools","0.2-18"
"1156","compiler","3.6.3"
"1157","datasets","3.6.3"
"1158","foreign","0.8-76"
"1159","graphics","3.6.3"
"1160","grDevices","3.6.3"
"1161","grid","3.6.3"
"1162","KernSmooth","2.23-18"
"1163","lattice","0.20-41"
"1164","MASS","7.3-53.1"
"1165","Matrix","1.3-2"
"1166","methods","3.6.3"
"1167","mgcv","1.8-33"
"1168","nlme","3.1-152"
"1169","nnet","7.3-15"
"1170","parallel","3.6.3"
"1171","rpart","4.1-15"
"1172","spatial","7.3-11"
"1173","splines","3.6.3"
"1174","stats","3.6.3"
"1175","stats4","3.6.3"
"1176","survival","3.2-7"
"1177","tcltk","3.6.3"
"1178","tools","3.6.3"
"1179","utils","3.6.3"
