,folder,Model,GenderSelf,Feminine,Attractive,LL,LL_F,LL_M,dist_centre_F,dist_centre_H,dist_centre
0,CFD,AF-200,F,5.62962963,4.111111111,199.1596513732037,250.68171358278204,,0.7714773416519165,0.9505375623703003,0.8791913390159607
1,CFD,AF-201,F,4.111111111,3.111111111,241.30584142263447,266.06730232384507,,0.7407220005989075,0.8913580179214478,0.8371354341506958
2,CFD,AF-202,F,3.206896552,3,243.52694393231496,270.27848140624496,,0.7818576693534851,0.8400341272354126,0.8017191886901855
3,CFD,AF-203,F,5,3.275862069,235.55793113766399,264.66714217891706,,0.7649545669555664,0.8539394736289978,0.8149060010910034
4,CFD,AF-204,F,4.62962963,3.172413793,201.02494143600057,257.6647829020151,,0.8413884043693542,0.9517335891723633,0.8987569212913513
5,CFD,AF-205,F,5.076923077,4.333333333,229.0762014315956,261.89281362337044,,0.7288174033164978,0.916878342628479,0.8486624360084534
6,CFD,AF-206,F,3.761904762,2.714285714,221.98089873040666,260.7284349719064,,0.7978181838989258,0.9605480432510376,0.8990564942359924
7,CFD,AF-207,F,3.482758621,2.137931034,222.00123666147636,264.0562476230653,,0.9657989740371704,0.9544355273246765,0.9286953806877136
8,CFD,AF-208,F,3.576923077,3.038461538,251.06978968552266,283.5195493053817,,0.869625985622406,0.8705379366874695,0.8499354720115662
9,CFD,AF-209,F,4.84,4.08,229.11097393894656,264.0821433482043,,0.7450453639030457,0.7763859629631042,0.7383971214294434
10,CFD,AF-210,F,4,2.615384615,248.97160750818705,278.24351061185166,,0.7871524095535278,0.8818564414978027,0.8401157855987549
11,CFD,AF-211,F,4.115384615,3.307692308,197.9197025787063,253.64458974495744,,0.7338666319847107,0.8608066439628601,0.8144659996032715
12,CFD,AF-212,F,4.785714286,2.607142857,221.13979825792453,254.28889025531066,,0.8805290460586548,0.9590219855308533,0.9142680168151855
13,CFD,AF-213,F,5.090909091,3,227.78323216841102,257.45350224807675,,0.7969134449958801,0.9300719499588013,0.888916015625
14,CFD,AF-214,F,5.08,3.730769231,237.12737754655603,272.8339397514319,,0.810615062713623,0.908419132232666,0.864584743976593
15,CFD,AF-215,F,4.296296296,2.814814815,194.41142531004436,257.5985237721581,,0.7836852669715881,0.9045870900154114,0.8639647960662842
16,CFD,AF-216,F,4.666666667,3.266666667,240.87209799114137,270.82228815449946,,0.752869188785553,0.9562922716140747,0.8865432739257812
17,CFD,AF-217,F,4.833333333,3.833333333,247.8570920301944,274.15093997476504,,0.754466712474823,0.8949201703071594,0.8419769406318665
18,CFD,AF-218,F,5.714285714,4.678571429,224.62828521600255,255.65892248281224,,0.7196645736694336,0.9106454849243164,0.8392202854156494
19,CFD,AF-219,F,4.964285714,2.928571429,249.6216419745472,275.3453783347202,,0.8162304162979126,0.9233062267303467,0.8677554130554199
20,CFD,AF-220,F,4.565217391,3.173913043,235.1821193903284,269.66337761123077,,0.902657151222229,0.9136655926704407,0.8929435014724731
21,CFD,AF-221,F,4.074074074,3,245.13289282685415,280.02159178770836,,0.8138270378112793,0.923934817314148,0.871485710144043
22,CFD,AF-222,F,4.551724138,3.689655172,223.46481217737846,260.92896923280665,,0.7961321473121643,0.967622697353363,0.9041619300842285
